product_id,routine_step,routine_order,product_format,declared_actives,supported_skin_types,supported_concerns,usage_period,usage_frequency,daytime_spf_rule,recommendation_mode,exclusion_flags,customer_warning,ingredient_data_status,safety_source_url,review_status
CLN-001,cleanse,1,rinse_off_cleanser,not_provided,"normal|dry","daily_cleansing|dryness",morning_and_evening,as_label_directed,none,standard,,"Full ingredient list and fragrance status are not yet provided",not_provided,,draft_expert_review
CLN-002,cleanse,1,rinse_off_cleanser,salicylic_acid_percentage_unspecified,"oily|acne_prone","excess_oil|clogged_pores|acne_prone",morning_or_evening,start_slowly_as_label_directed,recommended,clarify_first,"sensitive_or_irritated_skin|duplicate_salicylic_product","May be drying or irritating; do not automatically stack with another salicylic or exfoliating product",declared_from_name,"https://dermnetnz.org/topics/salicylic-acid",draft_expert_review
CLN-003,cleanse,1,rinse_off_cleanser,vitamin_c_form_and_percentage_unspecified,"normal|combination","dullness|uneven_tone|daily_cleansing",morning_or_evening,as_label_directed,recommended,standard,,"Vitamin C form and concentration are not yet provided",declared_from_name,,draft_expert_review
CLN-004,cleanse,1,rinse_off_cleanser,ceramides_unspecified,"dry|sensitive","dryness|barrier_support|daily_cleansing",morning_and_evening,as_label_directed,none,standard,,"Full ingredient list and fragrance status are not yet provided",declared_from_name,,draft_expert_review
CLN-005,cleanse,1,foaming_cleanser,not_provided,"oily|combination","excess_oil|daily_cleansing",morning_and_evening,as_label_directed,none,standard,"very_dry_or_irritated_skin","Oil-control formulation details are not yet provided",not_provided,,draft_expert_review
SRM-001,treat,3,leave_on_serum,niacinamide_10_percent,"oily|combination|normal","excess_oil|visible_pores|barrier_support",morning_or_evening,as_label_directed,recommended,standard,"duplicate_niacinamide_product","Do not promise pore removal; describe only appearance-related benefits",declared_from_name,,draft_expert_review
SRM-002,treat,3,leave_on_serum,vitamin_c_form_and_percentage_unspecified,"normal|dry|combination","dullness|uneven_tone",morning,reintroduce_slowly_if_sensitive,required,standard,"currently_irritated_skin|unknown_vitamin_c_form","Vitamin C form and concentration are not yet provided; stop use if irritation occurs",declared_from_name,,draft_expert_review
SRM-003,hydrate,3,leave_on_serum,hyaluronic_acid_percentage_unspecified,"all","dryness|dehydration",morning_or_evening,as_label_directed,none,standard,,"Apply with a moisturizer as part of a hydration routine; formulation details are incomplete",declared_from_name,,draft_expert_review
SRM-004,exfoliate_or_treat,3,leave_on_serum,salicylic_acid_2_percent,"oily|acne_prone","clogged_pores|blackheads|excess_oil",evening,start_slowly_as_label_directed,required,clarify_first,"sensitive_or_irritated_skin|duplicate_salicylic_product|same_routine_exfoliant|same_routine_retinol","May cause dryness or irritation; strong-active combinations must pass compatibility rules",declared_from_name,"https://dermnetnz.org/topics/salicylic-acid",draft_expert_review
SRM-005,treat,3,leave_on_serum,retinol_0_3_percent,"normal|mature","fine_lines|uneven_texture|uneven_tone",evening,start_slowly_as_label_directed,required,clarify_first,"sensitive_or_irritated_skin|same_routine_exfoliant|same_routine_benzoyl_peroxide","Retinol can irritate skin; introduce slowly and use daytime sun protection",declared_from_name,"https://www.aad.org/public/everyday-care/skin-care-secrets/anti-aging/retinoid-retinol",draft_expert_review
SRM-006,treat,3,leave_on_serum,alpha_arbutin_percentage_unspecified,"normal|dry|combination","dark_spots_appearance|uneven_tone",morning_or_evening,as_label_directed,required,standard,"currently_irritated_skin","Concentration and complete formulation are not yet provided",declared_from_name,,draft_expert_review
