rule_id,source_product_id,target_product_id,relationship_type,directionality,skin_context,routine_context,priority_rank,safety_action,reason,source_url,data_status
PCR-001,TON-001,CLN-001,complements,directional,dry_or_normal,same_routine,100,allow,"A gentle hydrating cleanser prepares dry or normal skin before a hydrating toner",,draft_expert_review
PCR-002,TON-001,MST-002,complements,directional,dry_or_normal,same_routine,90,allow,"A barrier moisturizer helps complete the hydration routine after toner",,draft_expert_review
PCR-003,TON-001,SUN-002,complements,directional,dry_or_normal,morning,90,allow,"Hydrating sunscreen completes daytime protection for a dry-skin routine",,draft_expert_review
PCR-004,TON-001,EXF-001,optional_with,directional,normal_or_dry,alternate_routines,30,clarify,"Lactic acid is optional rather than a required daily step and suitability must be confirmed","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/safely-exfoliate-at-home",draft_expert_review
PCR-005,TON-002,CLN-005,complements,directional,oily_or_combination,same_routine,100,allow,"An oil-control cleanser fits before an oil-control toner",,draft_expert_review
PCR-006,TON-002,MST-001,complements,directional,oily_or_combination,same_routine,90,allow,"A lightweight moisturizer completes hydration without adding a heavy feel",,draft_expert_review
PCR-007,TON-002,SUN-001,complements,directional,oily_or_combination,morning,90,allow,"A matte sunscreen completes daytime protection for an oil-control routine",,draft_expert_review
PCR-008,TON-002,EXF-003,optional_with,directional,oily_or_clogged_pores,alternate_routines,25,clarify,"A BHA exfoliant may be relevant for clogged pores but should not be attached as a default daily product","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/safely-exfoliate-at-home",draft_expert_review
PCR-009,TON-002,SRM-001,redundant_active,bidirectional,all,same_routine,20,clarify,"Both products emphasize niacinamide so the engine should explain potential redundancy before bundling",,draft_expert_review
PCR-010,TON-003,CLN-004,complements,directional,sensitive_or_dry,same_routine,100,allow,"A ceramide barrier cleanser is the preferred gentle cleansing match for the soothing toner",,draft_expert_review
PCR-011,TON-003,MST-002,complements,directional,sensitive_or_dry,same_routine,95,allow,"A ceramide moisturizer supports a simple soothing and barrier-focused routine",,draft_expert_review
PCR-012,TON-003,SUN-004,complements,directional,sensitive_or_dry,morning,95,allow,"Mineral sunscreen is the catalog's sensitive-skin daytime protection option",,draft_expert_review
PCR-013,TON-003,EXF-001,caution_same_routine,bidirectional,sensitive_skin,alternate_routines,0,block_auto_bundle,"Exfoliation may irritate sensitive skin and must not be automatically added to a soothing routine","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/safely-exfoliate-at-home",draft_expert_review
PCR-014,SRM-001,CLN-005,complements,directional,oily_or_combination,same_routine,85,allow,"An oil-control cleanser is a suitable cleansing step before the niacinamide serum",,draft_expert_review
PCR-015,SRM-001,MST-001,complements,directional,oily_or_combination,same_routine,95,allow,"A lightweight moisturizer completes the routine after the serum",,draft_expert_review
PCR-016,SRM-001,SUN-001,complements,directional,oily_or_combination,morning,90,allow,"Matte sunscreen adds daytime protection without a heavy finish",,draft_expert_review
PCR-017,SRM-002,CLN-001,complements,directional,normal_or_dry,same_routine,85,allow,"A gentle cleanser keeps the brightening routine simple",,draft_expert_review
PCR-018,SRM-002,MST-002,complements,directional,normal_or_dry,same_routine,85,allow,"A barrier moisturizer supports hydration after the serum",,draft_expert_review
PCR-019,SRM-002,SUN-003,complements,directional,all,morning,100,allow,"Daily sunscreen is the preferred protection step in a brightening routine",,draft_expert_review
