variant_id,product_id,size,price_inr,currency,stock_quantity,is_default,active,data_status
CLN-001-100ML,CLN-001,100 ml,299,INR,60,true,true,draft_demo
CLN-001-200ML,CLN-001,200 ml,499,INR,35,false,true,draft_demo
CLN-002-100ML,CLN-002,100 ml,399,INR,55,true,true,draft_demo
CLN-002-200ML,CLN-002,200 ml,699,INR,30,false,true,draft_demo
CLN-003-100ML,CLN-003,100 ml,349,INR,50,true,true,draft_demo
CLN-003-150ML,CLN-003,150 ml,549,INR,30,false,true,draft_demo
CLN-004-100ML,CLN-004,100 ml,449,INR,50,true,true,draft_demo
CLN-004-200ML,CLN-004,200 ml,749,INR,25,false,true,draft_demo
CLN-005-100ML,CLN-005,100 ml,329,INR,65,true,true,draft_demo
CLN-005-150ML,CLN-005,150 ml,499,INR,40,false,true,draft_demo
SRM-001-15ML,SRM-001,15 ml,499,INR,55,true,true,draft_demo
SRM-001-30ML,SRM-001,30 ml,849,INR,30,false,true,draft_demo
SRM-002-15ML,SRM-002,15 ml,599,INR,45,true,true,draft_demo
SRM-002-30ML,SRM-002,30 ml,999,INR,25,false,true,draft_demo
SRM-003-15ML,SRM-003,15 ml,549,INR,50,true,true,draft_demo
SRM-003-30ML,SRM-003,30 ml,899,INR,30,false,true,draft_demo
SRM-004-15ML,SRM-004,15 ml,499,INR,50,true,true,draft_demo
SRM-004-30ML,SRM-004,30 ml,849,INR,25,false,true,draft_demo
SRM-005-15ML,SRM-005,15 ml,699,INR,35,true,true,draft_demo
SRM-005-30ML,SRM-005,30 ml,1199,INR,20,false,true,draft_demo
SRM-006-15ML,SRM-006,15 ml,649,INR,40,true,true,draft_demo
SRM-006-30ML,SRM-006,30 ml,1099,INR,25,false,true,draft_demo
SRM-007-15ML,SRM-007,15 ml,749,INR,35,true,true,draft_demo
SRM-007-30ML,SRM-007,30 ml,1299,INR,20,false,true,draft_demo
MST-001-50G,MST-001,50 g,449,INR,60,true,true,draft_demo
MST-001-100G,MST-001,100 g,749,INR,35,false,true,draft_demo
MST-002-50G,MST-002,50 g,599,INR,45,true,true,draft_demo
MST-002-100G,MST-002,100 g,999,INR,25,false,true,draft_demo
MST-003-50G,MST-003,50 g,549,INR,45,true,true,draft_demo
MST-003-100G,MST-003,100 g,899,INR,25,false,true,draft_demo
MST-004-50G,MST-004,50 g,399,INR,65,true,true,draft_demo
MST-004-100G,MST-004,100 g,699,INR,35,false,true,draft_demo
SUN-001-50G,SUN-001,50 g,499,INR,70,true,true,draft_demo
SUN-001-100G,SUN-001,100 g,849,INR,40,false,true,draft_demo
SUN-002-50G,SUN-002,50 g,549,INR,55,true,true,draft_demo
SUN-002-100G,SUN-002,100 g,949,INR,30,false,true,draft_demo
SUN-003-50G,SUN-003,50 g,599,INR,60,true,true,draft_demo
SUN-003-100G,SUN-003,100 g,999,INR,35,false,true,draft_demo
SUN-004-50G,SUN-004,50 g,649,INR,40,true,true,draft_demo
SUN-004-100G,SUN-004,100 g,1099,INR,25,false,true,draft_demo
TON-001-100ML,TON-001,100 ml,349,INR,55,true,true,draft_demo
TON-001-200ML,TON-001,200 ml,599,INR,30,false,true,draft_demo
TON-002-100ML,TON-002,100 ml,399,INR,50,true,true,draft_demo
TON-002-200ML,TON-002,200 ml,699,INR,25,false,true,draft_demo
TON-003-100ML,TON-003,100 ml,449,INR,45,true,true,draft_demo
TON-003-200ML,TON-003,200 ml,749,INR,25,false,true,draft_demo
EXF-001-30ML,EXF-001,30 ml,499,INR,35,true,true,draft_demo
EXF-001-50ML,EXF-001,50 ml,749,INR,20,false,true,draft_demo
EXF-002-100ML,EXF-002,100 ml,549,INR,30,true,true,draft_demo
EXF-003-30ML,EXF-003,30 ml,599,INR,35,true,true,draft_demo
EXF-003-50ML,EXF-003,50 ml,899,INR,20,false,true,draft_demo
ACN-001-15G,ACN-001,15 g,349,INR,40,true,true,draft_demo
ACN-001-30G,ACN-001,30 g,599,INR,20,false,true,draft_demo
ACN-002-15G,ACN-002,15 g,399,INR,35,true,true,draft_demo
ACN-002-30G,ACN-002,30 g,699,INR,20,false,true,draft_demo
MSK-001-50G,MSK-001,50 g,399,INR,40,true,true,draft_demo
MSK-001-100G,MSK-001,100 g,699,INR,20,false,true,draft_demo
MSK-002-50G,MSK-002,50 g,499,INR,40,true,true,draft_demo
MSK-002-100G,MSK-002,100 g,849,INR,20,false,true,draft_demo
MSK-003-50G,MSK-003,50 g,449,INR,40,true,true,draft_demo
MSK-003-100G,MSK-003,100 g,749,INR,20,false,true,draft_demo
EYE-001-15ML,EYE-001,15 ml,499,INR,35,true,true,draft_demo
EYE-001-30ML,EYE-001,30 ml,849,INR,20,false,true,draft_demo
EYE-002-15G,EYE-002,15 g,549,INR,35,true,true,draft_demo
EYE-002-30G,EYE-002,30 g,899,INR,20,false,true,draft_demo
LIP-001-4P5G,LIP-001,4.5 g,199,INR,80,true,true,draft_demo
LIP-001-10G,LIP-001,10 g,349,INR,45,false,true,draft_demo
LIP-002-4P5G,LIP-002,4.5 g,249,INR,75,true,true,draft_demo
LIP-002-10G,LIP-002,10 g,399,INR,40,false,true,draft_demo
BND-001-KIT,BND-001,3-product kit,1299,INR,20,true,true,draft_demo
BND-002-KIT,BND-002,3-product kit,1399,INR,20,true,true,draft_demo
BND-003-KIT,BND-003,3-product kit,1499,INR,20,true,true,draft_demo
BND-004-KIT,BND-004,3-product kit,1199,INR,25,true,true,draft_demo
BND-005-KIT,BND-005,3-product kit,1349,INR,20,true,true,draft_demo
