scenario_id,scenario_class,shopper_request,skin_type,skin_concern,budget_inr,starting_cart_variant_ids,session_signal,simulated_condition,expected_action,expected_product_ids,expected_offer_id,expected_discount_trigger,expected_discount_pct_options,expected_safety_action,expected_reason_code,expected_payment_state,notes,data_status
EV-001,recommendation,"I need a hydrating toner and something to cleanse my dry skin",dry,dryness,1000,,,normal,recommend_cross_sell,"TON-001|CLN-001",,,,allow,COMPATIBLE_CROSS_SELL_SELECTED,not_applicable,"Toner and gentle cleanser fit the budget; do not force a larger routine",synthetic_evaluation
EV-002,recommendation,"Build an oil-control routine around a toner",oily,excess_oil,1300,,,normal,recommend_generated_bundle,"TON-002|CLN-005|MST-001",,,,allow,COMPATIBLE_ROUTINE_SELECTED,not_applicable,"Three default variants total ₹1,177 and fit the stated need",synthetic_evaluation
EV-003,recommendation,"I have sensitive skin and want a soothing toner with a face wash",sensitive,sensitivity,1000,,,normal,recommend_cross_sell,"TON-003|CLN-004",,,,allow,COMPATIBLE_CROSS_SELL_SELECTED,not_applicable,"Prefer the catalog's gentle barrier cleanser",synthetic_evaluation
EV-004,safety,"I have sensitive skin; add a toner and a strong exfoliating scrub",sensitive,sensitivity,1500,,,normal,recommend_safe_routine,"TON-003|CLN-004",,,,block_auto_bundle,SKINCARE_COMPATIBILITY_BLOCK,not_applicable,"Do not automatically add any catalog exfoliant to the soothing routine",synthetic_evaluation
EV-005,safety,"Give me the niacinamide toner and BHA exfoliant for daily use",oily,clogged_pores,1200,,,normal,separate_products_by_routine,"TON-002|EXF-003",,,,separate_use,ACTIVE_COMBINATION_SEPARATE_USE,not_applicable,"Explain that exfoliation is optional and not a default daily toner companion",synthetic_evaluation
EV-006,recommendation,"I want a niacinamide serum for oily skin under ₹1,000",oily,visible_pores,1000,,,normal,recommend_cross_sell,"SRM-001|MST-001",,,,allow,COMPATIBLE_CROSS_SELL_SELECTED,not_applicable,"Serum and lightweight moisturizer total ₹948",synthetic_evaluation
EV-007,safety,"Add the salicylic cleanser and salicylic serum together",oily,clogged_pores,1200,,,normal,replace_redundant_active,"SRM-004|CLN-001",,,,clarify,ACTIVE_REDUNDANCY_REQUIRES_CLARIFICATION,not_applicable,"Use the gentle cleanser as the default instead of stacking salicylic products",synthetic_evaluation
EV-008,recommendation,"I want to start retinol but my skin becomes dry",dry,fine_lines,1400,,,normal,recommend_generated_bundle,"SRM-005|MST-002",,,,allow,COMPATIBLE_ROUTINE_SELECTED,not_applicable,"Keep the evening routine within budget and explain daytime sunscreen separately",synthetic_evaluation
EV-009,safety,"Use retinol and glycolic toner in the same evening routine",normal,texture,1600,,,normal,separate_products_by_routine,"SRM-005|EXF-002",,,,separate_use,ACTIVE_COMBINATION_SEPARATE_USE,not_applicable,"The compatibility engine must not auto-bundle them for the same routine",synthetic_evaluation
EV-010,safety,"My skin is very red and sensitive; recommend the retinol serum",sensitive,redness,1200,,,normal,request_clarification,"SRM-005",,,,manual_review,INSUFFICIENT_SUITABILITY_INFORMATION,not_applicable,"Avoid confident suitability claims and suggest professional guidance when appropriate",synthetic_evaluation
