variant_id,unit_cost_inr,packaging_cost_inr,fulfilment_cost_inr,expected_return_rate_pct,return_processing_cost_inr,min_contribution_margin_inr,max_discount_pct,inventory_priority,data_status
CLN-001-100ML,105,18,35,4,60,80,10,normal,draft_demo
CLN-001-200ML,180,24,42,4,75,140,10,normal,draft_demo
CLN-002-100ML,145,18,35,6,70,100,10,normal,draft_demo
CLN-002-200ML,255,24,42,6,85,180,10,normal,draft_demo
CLN-003-100ML,125,18,35,4,60,90,10,normal,draft_demo
CLN-003-150ML,195,22,40,4,75,140,10,normal,draft_demo
CLN-004-100ML,165,18,35,4,60,115,8,normal,draft_demo
CLN-004-200ML,285,24,42,4,75,210,8,normal,draft_demo
CLN-005-100ML,115,18,35,4,60,85,10,normal,draft_demo
CLN-005-150ML,175,22,40,4,75,130,10,normal,draft_demo
SRM-001-15ML,180,16,32,6,65,130,10,normal,draft_demo
SRM-001-30ML,310,20,38,6,80,230,10,normal,draft_demo
SRM-002-15ML,225,16,32,6,65,160,10,normal,draft_demo
SRM-002-30ML,380,20,38,6,80,280,10,normal,draft_demo
SRM-003-15ML,205,16,32,5,65,145,10,normal,draft_demo
SRM-003-30ML,340,20,38,5,80,250,10,normal,draft_demo
SRM-004-15ML,180,16,32,7,70,130,10,normal,draft_demo
SRM-004-30ML,310,20,38,7,85,230,10,normal,draft_demo
SRM-005-15ML,280,16,32,8,75,190,8,normal,draft_demo
SRM-005-30ML,485,20,38,8,90,340,8,normal,draft_demo
SRM-006-15ML,260,16,32,6,70,175,10,normal,draft_demo
SRM-006-30ML,450,20,38,6,85,310,10,normal,draft_demo
SRM-007-15ML,310,16,32,5,65,200,10,normal,draft_demo
SRM-007-30ML,540,20,38,5,80,360,10,normal,draft_demo
MST-001-50G,150,18,35,5,65,115,12,normal,draft_demo
MST-001-100G,260,24,42,5,80,210,12,normal,draft_demo
MST-002-50G,220,18,35,5,65,160,10,normal,draft_demo
MST-002-100G,380,24,42,5,80,285,10,normal,draft_demo
MST-003-50G,200,18,35,5,65,145,12,normal,draft_demo
MST-003-100G,340,24,42,5,80,250,12,normal,draft_demo
MST-004-50G,135,18,35,5,65,100,12,normal,draft_demo
MST-004-100G,235,24,42,5,80,190,12,normal,draft_demo
SUN-001-50G,180,18,35,5,65,130,10,normal,draft_demo
SUN-001-100G,315,24,42,5,80,230,10,normal,draft_demo
SUN-002-50G,205,18,35,5,65,145,10,normal,draft_demo
SUN-002-100G,355,24,42,5,80,260,10,normal,draft_demo
SUN-003-50G,225,18,35,5,65,160,10,normal,draft_demo
SUN-003-100G,390,24,42,5,80,280,10,normal,draft_demo
SUN-004-50G,260,18,35,5,65,175,8,normal,draft_demo
SUN-004-100G,455,24,42,5,80,310,8,normal,draft_demo
TON-001-100ML,120,18,35,4,60,90,12,normal,draft_demo
TON-001-200ML,205,24,42,4,75,160,12,normal,draft_demo
TON-002-100ML,145,18,35,4,60,100,10,normal,draft_demo
TON-002-200ML,250,24,42,4,75,185,10,normal,draft_demo
TON-003-100ML,170,18,35,4,60,120,10,normal,draft_demo
TON-003-200ML,290,24,42,4,75,210,10,normal,draft_demo
EXF-001-30ML,190,16,32,7,70,130,8,normal,draft_demo
EXF-001-50ML,300,18,35,7,85,200,8,normal,draft_demo
EXF-002-100ML,215,18,35,7,80,145,8,normal,draft_demo
EXF-003-30ML,240,16,32,8,75,160,8,normal,draft_demo
EXF-003-50ML,380,18,35,8,90,250,8,normal,draft_demo
ACN-001-15G,125,14,30,8,70,85,8,normal,draft_demo
ACN-001-30G,215,18,35,8,85,150,8,normal,draft_demo
ACN-002-15G,150,14,30,8,70,100,8,normal,draft_demo
ACN-002-30G,260,18,35,8,85,180,8,normal,draft_demo
MSK-001-50G,135,20,38,5,70,90,15,normal,draft_demo
MSK-001-100G,235,28,45,5,90,170,15,normal,draft_demo
MSK-002-50G,180,20,38,5,70,115,15,normal,draft_demo
MSK-002-100G,310,28,45,5,90,210,15,normal,draft_demo
MSK-003-50G,160,20,38,5,70,100,15,normal,draft_demo
MSK-003-100G,275,28,45,5,90,180,15,normal,draft_demo
EYE-001-15ML,190,14,30,6,65,125,10,normal,draft_demo
EYE-001-30ML,325,18,35,6,80,220,10,normal,draft_demo
EYE-002-15G,210,14,30,6,65,140,10,normal,draft_demo
EYE-002-30G,360,18,35,6,80,240,10,normal,draft_demo
LIP-001-4P5G,60,10,25,3,45,45,15,normal,draft_demo
LIP-001-10G,110,12,28,3,55,85,15,normal,draft_demo
LIP-002-4P5G,80,10,25,3,45,55,15,normal,draft_demo
LIP-002-10G,135,12,28,3,55,95,15,normal,draft_demo
BND-001-KIT,475,45,60,5,120,350,8,normal,draft_demo
BND-002-KIT,555,45,60,5,120,380,8,normal,draft_demo
BND-003-KIT,605,45,60,5,120,430,8,normal,draft_demo
BND-004-KIT,465,45,60,5,120,300,10,normal,draft_demo
BND-005-KIT,535,45,60,5,120,370,8,normal,draft_demo
